species;group;feeding_strategy;rep_strategy;crep_strategy;habitat_use
Aplidium radiatum;Ascidiacea;filter;1;brooder;1
Ascidiacea challengeri;Ascidiacea;filter;2;lbroadcaster;1
Cnemidocarpa verrucosa;Ascidiacea;filter;2;lbroadcaster;2
Corella antarctica;Ascidiacea;filter;2;lbroadcaster;1
Dendrilla antarctica;Porifera;filter;1;brooder;3
Diplasterias brucei;Asteroidea;predator;1;brooder;1
Distaplia cylindrica;Ascidiacea;filter;1;brooder;4
Glyptonotus antarcticus;Isopoda;opportunistic;1;brooder;1
Haliclona spp.;Porifera;filter;1;brooder;4
Laternula elliptica;Bivalvia;filter;2;lbroadcaster;0
Lyrocteis flavopallidus;Ctenophora;predator;1;brooder;2
Malacobelemnon daytoni;Pennatulaceae;predator;2;lbroadcaster;1
Marseniopsis mollis;Gastropoda;predator;3;pbroadcaster;1
Molgula pedunculata;Ascidiacea;filter;2;lbroadcaster;3
Mycale acerata;Porifera;filter;1;brooder;4
Nacella concinna;Gastropoda;predator;3;pbroadcaster;1
Neobuccinum eatoni;Gastropoda;predator;2;lbroadcaster;1
Odontaster validus;Asteroidea;opportunistic;3;pbroadcaster;1
Ophionotus victoriae;Ophiuroidea;opportunistic;3;pbroadcaster;1
Parborlasia corrugata;Nematoda;opportunistic;3;pbroadcaster;1
Perknaster aurorae;Asteroidea;predator;2;lbroadcaster;1
Perknaster fuscus;Asteroidea;predator;2;lbroadcaster;1
Perknaster sp1.;Asteroidea;opportunistic;2;lbroadcaster;1
Perknaster sp2.;Asteroidea;opportunistic;2;lbroadcaster;1
Pyura setosa;Ascidiacea;filter;2;lbroadcaster;2
Rossella antarctica;Porifera;filter;2;lbroadcaster;4
Paraserolis sp.;Isopoda;opportunistic;1;brooder;1
Sterechinus neumayeri;Echinoidea;opportunistic;3;pbroadcaster;1
Styela wandeli;Ascidiacea;filter;2;lbroadcaster;1
Stylocordyla borealis;Porifera;filter;1;brooder;4
Sycozoa gaimardi;Ascidiacea;filter;1;brooder;1
Synoicum adareanum;Ascidiacea;filter;1;brooder;1
Tylobranchion speciosum;Ascidiacea;filter;1;brooder;1
Urticinopsis antarctica;Actinaria;predator;1;brooder;2
